,Scannumber,Timesweep,Status,I0(5.377|4.375),I1(3.286|2.490),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0.0,1.0,No,18.1,82.40299999999999,-0.11376372345972485,,,,,,,,
1,1.0,1.0,No,18.165,82.912,-0.1109014341863166,,,,,,,,
2,2.0,1.0,No,18.166,82.882,-0.1113647147731136,,,,,,,,
3,3.0,1.0,No,17.785999999999998,82.87700000000001,-0.08818261319175202,,,,,,,,
4,4.0,1.0,No,18.148,82.795,-0.1114301573232428,,,,,,,,
5,5.0,1.0,No,18.292,82.598,-0.122920932583797,,,,,,,,
6,6.0,1.0,No,17.952,82.876,-0.09835207389347866,,,,,,,,
7,7.0,1.0,No,18.096,82.82700000000001,-0.1078173758553913,,,,,,,,
8,8.0,1.0,No,18.58,82.73100000000001,-0.13876720718368696,,,,,,,,
9,9.0,1.0,No,18.17,81.655,-0.12831317866759395,,,,,,,,
10,10.0,1.0,No,17.941,81.73899999999999,-0.11294792096470085,,,,,,,,
11,11.0,1.0,No,18.155,81.76,-0.1259338787373161,,,,,,,,
12,12.0,1.0,No,17.708,81.737,-0.09852093060777589,,,,,,,,
13,13.0,1.0,No,17.93,81.95700000000001,-0.10930699937127297,,,,,,,,
14,14.0,1.0,No,17.629,81.501,-0.09678690565899117,,,,,,,,
15,15.0,1.0,No,17.805999999999997,81.928,-0.10202521732348835,,,,,,,,
16,16.0,1.0,No,18.226,81.732,-0.13072437972866102,,,,,,,,
17,17.0,1.0,No,18.07,81.531,-0.12381002008037223,,,,,,,,
18,18.0,1.0,No,18.438,81.797,-0.14296768415313044,,,,,,,,
19,19.0,1.0,No,17.748,81.45,-0.1048818716741513,,,,,,,,
20,20.0,1.0,No,17.957,81.99600000000001,-0.11044903859752186,,,,,,,,
21,21.0,1.0,No,18.0,81.695,-0.11720930592229784,,,,,,,,
22,22.0,1.0,No,17.833,81.85300000000001,-0.10470755654954256,,,,,,,,
23,23.0,1.0,No,17.894000000000002,81.98,-0.10676912562791885,,,,,,,,
24,24.0,1.0,No,18.355999999999998,82.08,-0.1339612599657818,,,,,,,,
25,25.0,1.0,No,18.257,82.147,-0.12692554736790274,,,,,,,,
26,26.0,1.0,No,18.096,82.294,-0.11499246348427006,,,,,,,,
27,27.0,1.0,No,17.828,81.55,-0.10850122297244957,,,,,,,,
28,28.0,1.0,No,17.958,81.378,-0.11894430862655381,,,,,,,,
29,29.0,1.0,No,18.09,82.42200000000001,-0.11289178033241987,,,,,,,,
30,30.0,1.0,No,18.320999999999998,82.238,-0.1296246256969531,,,,,,,,
31,31.0,1.0,No,17.592,81.863,-0.08964511673221698,,,,,,,,
32,32.0,1.0,No,18.112000000000002,82.00399999999999,-0.11992487009271802,,,,,,,,
33,33.0,1.0,Timesweep,18.18,82.071,-0.12321183353188503,0,4.0,1,4408.0,6259.0,1.42,4.0,-418.0
34,34.0,1.0,Timesweep,18.025,81.70100000000001,-0.11867882537000152,17,4.1889,,,,,,
35,35.0,1.0,Timesweep,18.021,81.375,-0.12291116924457546,34,4.3778,,,,,,
36,36.0,1.0,Timesweep,17.474,82.024,-0.08021176631074556,51,4.5667,,,,,,
37,37.0,1.0,Timesweep,17.879,81.78,-0.10854578430468753,68,4.7556,,,,,,
38,38.0,1.0,Timesweep,17.797,82.166,-0.09827771581621492,85,4.9444,,,,,,
39,39.0,1.0,Timesweep,17.708,81.791,-0.09779566584450339,102,5.1333,,,,,,
40,40.0,1.0,Timesweep,18.222,81.865,-0.12863962242357263,119,5.3222,,,,,,
41,41.0,1.0,Timesweep,18.219,81.329,-0.13589089935936616,136,5.5111,,,,,,
42,42.0,1.0,Timesweep,17.28,81.792,-0.0712489935131706,153,5.7,,,,,,
43,43.0,1.0,Timesweep,17.747,81.51899999999999,-0.1038844670480541,170,5.8889,,,,,,
44,44.0,1.0,Timesweep,18.531,82.162,-0.1436295546313151,187,6.0778,2,8420.0,8497.0,1.009,6.0,-546.0
45,45.0,1.0,Timesweep,17.762999999999998,81.78399999999999,-0.10129960782547998,204,6.2667,,,,,,
46,46.0,1.0,Timesweep,17.937,81.229,-0.11968592248404497,221,6.4556,,,,,,
47,47.0,1.0,Timesweep,17.99,81.702,-0.11649296787874408,238,6.6444,,,,,,
48,48.0,1.0,Timesweep,17.686,82.14399999999999,-0.09172005960950624,255,6.8333,,,,,,
49,49.0,1.0,Timesweep,17.906,81.916,-0.10837662803125547,272,7.0222,,,,,,
50,50.0,1.0,Timesweep,17.987000000000002,82.162,-0.1100569207896751,289,7.2111,,,,,,
51,51.0,1.0,Timesweep,18.354,82.441,-0.12887275822530997,306,7.4,,,,,,
52,52.0,1.0,Timesweep,17.815,81.851,-0.1036194696705286,323,7.5889,,,,,,
53,53.0,1.0,Timesweep,18.105,82.0,-0.11954664630607525,340,7.7778,,,,,,
54,54.0,1.0,Timesweep,17.665,81.888,-0.09383267910570603,357,7.9667,3,8183.0,8446.0,1.032,8.0,-235.0
55,55.0,1.0,Timesweep,17.46,81.486,-0.0864725452212951,374,8.1556,,,,,,
56,56.0,1.0,Timesweep,17.715,81.92299999999999,-0.09646008270049777,391,8.3444,,,,,,
57,57.0,1.0,Timesweep,17.813,81.673,-0.10590055532261355,408,8.5333,,,,,,
58,58.0,1.0,Timesweep,17.817,81.327,-0.11085492356955284,425,8.7222,,,,,,
59,59.0,1.0,Timesweep,17.646,81.721,-0.09488906687132381,442,8.9111,,,,,,
60,60.0,1.0,Timesweep,17.06,81.373,-0.06305617824320331,459,9.1,,,,,,
61,61.0,1.0,Timesweep,17.924,82.055,-0.10761136159960549,476,9.2889,,,,,,
62,62.0,1.0,Timesweep,17.727,81.608,-0.10143792640310245,493,9.4778,,,,,,
63,63.0,1.0,Timesweep,17.659000000000002,81.788,-0.09479809941791362,510,9.6667,,,,,,
64,64.0,1.0,Timesweep,17.212,81.54,-0.07033110540491916,527,9.8556,,,,,,
65,65.0,1.0,Timesweep,17.131,81.836,-0.06144094861190896,544,10.0444,4,8593.0,8659.0,1.008,10.0,-33.0
66,66.0,1.0,Timesweep,17.414,81.778,-0.07974094751296024,561,10.2333,,,,,,
67,67.0,1.0,Timesweep,16.827,81.699,-0.04435336522525746,578,10.4222,,,,,,
68,68.0,1.0,Timesweep,17.035999999999998,81.928,-0.05436940370228838,595,10.6111,,,,,,
69,69.0,1.0,Timesweep,17.096,81.699,-0.06104862018725865,612,10.8,,,,,,
70,70.0,1.0,Timesweep,16.753,81.51,-0.0421715466986925,629,10.9889,,,,,,
71,71.0,1.0,Timesweep,16.705,81.941,-0.033719566518400024,646,11.1778,,,,,,
72,72.0,1.0,Timesweep,16.837,81.468,-0.047936998222998684,663,11.3667,,,,,,
73,73.0,1.0,Timesweep,17.026,82.277,-0.049280731198611205,680,11.5556,,,,,,
74,74.0,1.0,Timesweep,16.497,81.611,-0.02497622450001513,697,11.7444,,,,,,
75,75.0,1.0,Timesweep,16.365,81.562,-0.017385771395057592,714,11.9333,,,,,,
76,76.0,1.0,Timesweep,16.738,81.842,-0.03701454134638671,720,12.0,5,6612.0,8863.0,1.34,12.0,120.0
77,77.0,1.0,No,16.734,82.12700000000001,-0.03316889425638081,,,,,,,,
78,78.0,1.0,No,16.503,81.76,-0.02348040764538295,,,,,,,,
79,79.0,1.0,No,16.77,82.156,-0.035026079739622684,,,,,,,,
80,80.0,1.0,No,16.929000000000002,82.118,-0.04532288413753949,,,,,,,,
81,81.0,1.0,No,16.662,81.90899999999999,-0.031461501441899076,,,,,,,,
82,82.0,1.0,No,16.495,81.595,-0.025052926043656276,,,,,,,,
83,83.0,1.0,No,16.971,81.855,-0.05128323131778001,,,,,,,,
84,84.0,1.0,No,16.813,81.634,-0.044315327995297915,,,,,,,,
85,85.0,1.0,No,16.643,81.622,-0.033908004322215746,,,,,,,,
86,86.0,1.0,No,17.033,82.04,-0.05274457302307667,,,,,,,,
87,87.0,1.0,No,16.647000000000002,82.089,-0.02827323323545272,,,,,,,,
88,88.0,1.0,No,16.852,81.774,-0.04494570462213776,,,,,,,,
89,89.0,1.0,No,16.387,81.874,-0.014871278000930799,,,,,,,,
90,90.0,1.0,No,16.951,81.824,-0.05044213590304758,,,,,,,,
91,91.0,1.0,No,16.245,82.14200000000001,-0.002794536999442654,,,,,,,,
92,92.0,1.0,No,16.567,81.805,-0.026884361072323282,,,,,,,,
93,93.0,1.0,No,16.867,81.59899999999999,-0.04811883391107896,,,,,,,,
94,94.0,2.0,No,16.647000000000002,82.225,-0.026572471183522017,,,,,,,,
95,95.0,2.0,No,16.705,81.85,-0.034868845450021,,,,,,,,
96,96.0,2.0,No,16.534000000000002,82.10700000000001,-0.02106941021757791,,,,,,,,
97,97.0,2.0,No,16.503,81.921,-0.02146895337076571,,,,,,,,
98,98.0,2.0,No,16.422,81.675,-0.019516881113848195,,,,,,,,
99,99.0,2.0,No,16.367,81.99,-0.012198554014663854,,,,,,,,
100,100.0,2.0,No,16.785999999999998,81.851,-0.039874062188576476,,,,,,,,
101,101.0,2.0,No,16.753,82.044,-0.03538836199369144,,,,,,,,
102,102.0,2.0,No,16.498,82.12100000000001,-0.018672510517894647,,,,,,,,
103,103.0,2.0,No,16.43,81.52,-0.02195296729057783,,,,,,,,
104,104.0,2.0,No,16.477,81.8,-0.021368252888567252,,,,,,,,
105,105.0,2.0,No,16.345,81.32600000000001,-0.019091148158494997,,,,,,,,
106,106.0,2.0,No,16.602,81.639,-0.031146209623424737,,,,,,,,
107,107.0,2.0,No,16.913,82.11,-0.04443667449150812,,,,,,,,
108,108.0,2.0,No,16.273,82.09899999999999,-0.005049087786069162,,,,,,,,
109,109.0,2.0,No,16.480999999999998,81.876,-0.020667905131686704,,,,,,,,
110,110.0,2.0,No,16.858,82.251,-0.03925561417109158,,,,,,,,
111,111.0,2.0,No,16.71,82.072,-0.03237849562494777,,,,,,,,
112,112.0,2.0,No,16.562,81.935,-0.024945655271556122,,,,,,,,
113,113.0,2.0,No,16.268,81.556,-0.01142984164625549,,,,,,,,
114,114.0,2.0,No,16.611,81.804,-0.029624231267058265,,,,,,,,
115,115.0,2.0,No,16.663,81.93299999999999,-0.03122125029199241,,,,,,,,
116,116.0,2.0,No,16.715,81.547,-0.03933585276928886,,,,,,,,
117,117.0,2.0,No,16.554000000000002,82.154,-0.021719668380365986,,,,,,,,
118,118.0,2.0,No,16.706,81.846,-0.03498137451620753,,,,,,,,
119,119.0,2.0,No,16.53,81.774,-0.024979379148109215,,,,,,,,
120,120.0,2.0,No,16.424,81.44800000000001,-0.022482840856891784,,,,,,,,
121,121.0,2.0,No,16.157,81.74,-0.002267408173601604,,,,,,,,
122,122.0,2.0,No,16.735,82.008,-0.03472993314265804,,,,,,,,
123,123.0,2.0,No,16.74,81.855,-0.03697373709620133,,,,,,,,
124,124.0,2.0,No,16.000999999999998,81.72399999999999,0.007215411784787018,,,,,,,,
125,125.0,2.0,No,16.41,81.748,-0.017862141240666318,,,,,,,,
126,126.0,2.0,No,16.47,81.661,-0.02267213279655822,,,,,,,,
127,127.0,2.0,No,16.493,81.557,-0.025406186389807628,,,,,,,,
128,128.0,2.0,No,16.235,81.472,-0.010418831899490222,,,,,,,,
129,129.0,2.0,No,16.097,81.796,0.002138206881113436,,,,,,,,
130,130.0,2.0,No,16.39,81.78699999999999,-0.016136827989241542,,,,,,,,
131,131.0,2.0,No,16.432000000000002,81.92200000000001,-0.017061925376168796,,,,,,,,
132,132.0,2.0,No,16.526,81.221,-0.03170831972248922,,,,,,,,
133,133.0,2.0,No,16.637999999999998,81.777,-0.03163831194518507,,,,,,,,
134,134.0,2.0,No,16.213,82.042,-0.0020390817385089743,,,,,,,,
135,135.0,2.0,No,16.465999999999998,82.257,-0.015015703490554477,,,,,,,,
136,136.0,2.0,No,16.56,81.59,-0.02915530221272622,,,,,,,,
137,137.0,2.0,No,16.052,81.695,0.0036975678519597377,,,,,,,,
138,138.0,2.0,No,16.675,82.0,-0.031120702963479907,,,,,,,,
139,139.0,2.0,No,16.455,82.001,-0.017504303090941642,,,,,,,,
140,140.0,2.0,No,16.607,81.86,-0.028672102373482167,,,,,,,,
141,141.0,2.0,No,16.737000000000002,82.304,-0.03113182244242907,,,,,,,,
142,142.0,2.0,No,16.528,81.855,-0.023841214260813537,,,,,,,,
143,143.0,2.0,No,16.044,81.626,0.003352331784238105,,,,,,,,
144,144.0,2.0,No,16.781,81.917,-0.03872674745596982,,,,,,,,
145,145.0,2.0,No,16.2,81.654,-0.005993249841892645,,,,,,,,
146,146.0,2.0,No,16.401,82.41,-0.009131890729503045,,,,,,,,
147,147.0,2.0,No,16.283,82.012,-0.006733537090199748,,,,,,,,
148,148.0,2.0,No,16.505,81.95200000000001,-0.021206307182559003,,,,,,,,
149,149.0,2.0,No,16.477,81.833,-0.020956375622118273,,,,,,,,
150,150.0,2.0,No,16.389,81.67,-0.017530453926616785,,,,,,,,
151,151.0,2.0,No,16.502,81.66199999999999,-0.02464656205477711,,,,,,,,
152,152.0,2.0,No,16.495,81.78,-0.022734085357448697,,,,,,,,
153,153.0,2.0,No,16.547,81.655,-0.0275287929230974,,,,,,,,
154,154.0,2.0,No,16.340999999999998,82.00399999999999,-0.010418082055272837,,,,,,,,
155,155.0,2.0,No,15.921,81.944,0.014831087062427861,,,,,,,,
156,156.0,2.0,No,16.514,82.126,-0.019598354885769886,,,,,,,,
157,157.0,2.0,No,16.512,81.54899999999999,-0.026688167067777213,,,,,,,,
158,158.0,2.0,No,16.552,81.758,-0.026544392952151386,,,,,,,,
159,159.0,2.0,No,16.502,81.67699999999999,-0.024458385475925937,,,,,,,,
160,160.0,2.0,No,16.345,82.223,-0.007973519758921244,,,,,,,,
161,161.0,2.0,No,16.461,81.491,-0.024245546491957093,,,,,,,,
162,162.0,2.0,No,16.399,81.832,-0.016135716564177338,,,,,,,,
163,163.0,2.0,No,16.242,81.75399999999999,-0.007367677697731612,,,,,,,,
164,164.0,2.0,No,16.233,81.765,-0.006674028195152726,,,,,,,,
165,165.0,2.0,No,16.474,81.86399999999999,-0.02038394594176851,,,,,,,,
166,166.0,2.0,No,16.097,81.457,-0.002014599481351853,,,,,,,,
167,167.0,2.0,No,16.486,81.888,-0.020827939300122944,,,,,,,,
168,168.0,2.0,No,16.551,81.689,-0.02734940935025154,,,,,,,,
169,169.0,2.0,No,16.05,81.325,-0.0007105568668375195,,,,,,,,
170,170.0,2.0,No,16.15,81.59899999999999,-0.003564307088629981,,,,,,,,
171,171.0,2.0,No,16.601,81.69800000000001,-0.030339479900088895,,,,,,,,
172,172.0,2.0,No,16.776,81.985,-0.03755596851258414,,,,,,,,
173,173.0,2.0,No,16.493,81.082,-0.03141328955123868,,,,,,,,
174,174.0,2.0,No,16.474,81.941,-0.01942509062101916,,,,,,,,
175,175.0,2.0,No,16.374000000000002,82.191,-0.010155047312325749,,,,,,,,
176,176.0,2.0,No,16.262,81.736,-0.008830242413211398,,,,,,,,
177,177.0,2.0,No,16.511,81.839,-0.022988095622391125,,,,,,,,
178,178.0,2.0,No,16.084,81.396,-0.0019556944880780858,,,,,,,,
179,179.0,2.0,Timesweep,16.927,81.988,-0.04685665515036175,0,12.0,6,1644.0,1661.0,1.011,12.0,58.0
180,180.0,2.0,Timesweep,16.1,81.648,0.00014311476508477305,17,12.17,,,,,,
181,181.0,2.0,Timesweep,16.322,81.865,-0.010956860783533529,34,12.34,,,,,,
182,182.0,2.0,Timesweep,16.180999999999997,81.577,-0.005761818034167643,51,12.51,,,,,,
183,183.0,2.0,Timesweep,16.366,82.02600000000001,-0.01169249829435759,68,12.68,,,,,,
184,184.0,2.0,Timesweep,16.5,81.718,-0.02382028920652246,85,12.85,,,,,,
185,185.0,2.0,Timesweep,17.061,81.875,-0.056600195062638026,102,13.02,,,,,,
186,186.0,2.0,Timesweep,16.448,81.861,-0.01881086607511806,119,13.19,,,,,,
187,187.0,2.0,Timesweep,16.279,82.052,-0.00599557024282471,136,13.36,,,,,,
188,188.0,2.0,Timesweep,16.432000000000002,82.199,-0.013634558214412618,153,13.53,,,,,,
189,189.0,2.0,Timesweep,16.279,81.758,-0.009613108558969907,170,13.7,,,,,,
190,190.0,2.0,Timesweep,16.222,81.96799999999999,-0.003500458119198191,187,13.87,7,1667.0,1688.0,1.012,13.8,329.0
191,191.0,2.0,Timesweep,16.105,82.087,0.005181479911474218,204,14.04,,,,,,
192,192.0,2.0,Timesweep,16.359,81.704,-0.015245212169635813,221,14.21,,,,,,
193,193.0,2.0,Timesweep,16.201,81.732,-0.005095230768355163,238,14.38,,,,,,
194,194.0,2.0,Timesweep,16.053,81.72399999999999,0.003989063519853953,255,14.55,,,,,,
195,195.0,2.0,Timesweep,15.769,81.512,0.01906524856188696,272,14.72,,,,,,
196,196.0,2.0,Timesweep,16.074,81.634,0.001586594766167737,289,14.89,,,,,,
197,197.0,2.0,Timesweep,15.992,81.494,0.004973464547372575,306,15.06,,,,,,
198,198.0,2.0,Timesweep,15.638,82.06200000000001,0.03373415628859,323,15.23,,,,,,
199,199.0,2.0,Timesweep,15.844000000000001,82.059,0.020969706529196497,340,15.4,,,,,,
